FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
230," NEAR S. COAST OF HONSHU, JAPAN",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
231, SOUTH KOREA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
232," WESTERN HONSHU, JAPAN",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
233, NEAR S. COAST OF WESTERN HONSHU,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
234, NORTHWEST OF RYUKYU ISLANDS,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
235," KYUSHU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
236," SHIKOKU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
237," SOUTHEAST OF SHIKOKU, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
238," RYUKYU ISLANDS, JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
239, SOUTHEAST OF RYUKYU ISLANDS,30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
240, WEST OF BONIN ISLANDS,42,-,0,0,40,SOR,999,SZIntra,-,-,-
241, PHILIPPINE SEA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
242, NEAR COAST OF SOUTHEASTERN CHINA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
243, TAIWAN REGION,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
244, TAIWAN,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
245, NORTHEAST OF TAIWAN,34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
246," SOUTHWESTERN RYUKYU ISL., JAPAN",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
247, SOUTHEAST OF TAIWAN,31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
248, PHILIPPINE ISLANDS REGION,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
249," LUZON, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
250," MINDORO, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
251," SAMAR, PHILIPPINES",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
252," PALAWAN, PHILIPPINES",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
253, SULU SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
254," PANAY, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
255," CEBU, PHILIPPINES",34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
256," LEYTE, PHILIPPINES",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
257," NEGROS, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
258," SULU ARCHIPELAGO, PHILIPPINES",21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
259," MINDANAO, PHILIPPINES",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
260, EAST OF PHILIPPINE ISLANDS,31,-,0,0,65,SZOuter,999,SZIntra,-,-,-
261, BORNEO,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
262, CELEBES SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
263," TALAUD ISLANDS, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
264," NORTH OF HALMAHERA, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
265," MINAHASSA PENINSULA, SULAWESI",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
266, NORTHERN MOLUCCA SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
267," HALMAHERA, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
268," SULAWESI, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
269, SOUTHERN MOLUCCA SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
270, CERAM SEA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
271," BURU, INDONESIA",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
272," SERAM, INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
273," SOUTHWEST OF SUMATERA, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
274," SOUTHERN SUMATERA, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
275, JAVA SEA,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
276," SUNDA STRAIT, INDONESIA",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
277," JAVA, INDONESIA",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
278, BALI SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
279, FLORES SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
280, BANDA SEA,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
281," TANIMBAR ISLANDS REG., INDONESIA",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
282," SOUTH OF JAVA, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
283," BALI REGION, INDONESIA",34,-,0,0,35,ACRsh,50,ACRde,999,SZIntra,-
284," SOUTH OF BALI, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
285," SUMBAWA REGION, INDONESIA",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
286," FLORES REGION, INDONESIA",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
287," SUMBA REGION, INDONESIA",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
288, SAVU SEA,33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
289, TIMOR REGION,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
290, TIMOR SEA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
291," SOUTH OF SUMBAWA, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
292," SOUTH OF SUMBA, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
293," SOUTH OF TIMOR, INDONESIA",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
294, MYANMAR-INDIA BORDER REGION,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
295, MYANMAR-BANGLADESH BORDER REGION,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
296, MYANMAR,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
297, MYANMAR-CHINA BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
298, NEAR SOUTH COAST OF MYANMAR,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
300," HAINAN ISLAND, CHINA",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
301, SOUTH CHINA SEA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
733, THAILAND,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
734, LAOS,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
735, CAMBODIA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
736, VIETNAM,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
737, GULF OF TONGKING,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
302, EASTERN KASHMIR,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
303, KASHMIR-INDIA BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
304, KASHMIR-XIZANG BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
305, WESTERN XIZANG-INDIA BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
306, XIZANG,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
307," SICHUAN, CHINA",21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
308, NORTHERN INDIA,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
309, NEPAL-INDIA BORDER REGION,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
310, NEPAL,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
311," SIKKIM, INDIA",21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
312, BHUTAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
313, EASTERN XIZANG-INDIA BORDER REG.,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
314, SOUTHERN INDIA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
315, INDIA-BANGLADESH BORDER REGION,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
316, BANGLADESH,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
317, NORTHEASTERN INDIA,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
318," YUNNAN, CHINA",21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
319, BAY OF BENGAL,40,c,0,1,40,SOR,-,WARNING,-,-,SOR
320, KYRGYZSTAN-XINJIANG BORDER REG.,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
321," SOUTHERN XINJIANG, CHINA",221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
322," GANSU, CHINA",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
323," WESTERN NEI MONGOL, CHINA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
324, KASHMIR-XINJIANG BORDER REGION,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
325," QINGHAI, CHINA",21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
326," SOUTHWESTERN SIBERIA, RUSSIA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
327," LAKE BAYKAL REGION, RUSSIA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
328," EAST OF LAKE BAYKAL, RUSSIA",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
329, EASTERN KAZAKHSTAN,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
330, LAKE ISSYK-KUL REGION,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
331, KAZAKHSTAN-XINJIANG BORDER REG.,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
332," NORTHERN XINJIANG, CHINA",21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
333, RUSSIA-MONGOLIA BORDER REGION,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
334, MONGOLIA,21,-,1,1,35,ACRsh,85,ACRde,-,WARNING,ACRde
335," URAL MOUNTAINS REGION, RUSSIA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
336, WESTERN KAZAKHSTAN,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
337, EASTERN CAUCASUS,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
338, CASPIAN SEA,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
339, NORTHWESTERN UZBEKISTAN,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
340, TURKMENISTAN,21,-,1,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
341, TURKMENISTAN-IRAN BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
342, TURKMENISTAN-AFGHANISTAN BRD REG,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
343, TURKEY-IRAN BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
344, ARMENIA-AZERBAIJAN-IRAN BORD REG,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
345, NORTHWESTERN IRAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
346, IRAN-IRAQ BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
347, WESTERN IRAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
348, NORTHERN AND CENTRAL IRAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
349, NORTHWESTERN AFGHANISTAN,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
350, SOUTHWESTERN AFGHANISTAN,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
351, EASTERN ARABIAN PENINSULA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
352, PERSIAN GULF,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
353, SOUTHERN IRAN,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
354, SOUTHWESTERN PAKISTAN,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
355, GULF OF OMAN,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
356, OFF COAST OF PAKISTAN,30,c,1,1,15,SZInter,70,SZInter,999,SZIntra,-
357, UKRAINE-MOLDOVA-SW RUSSIA REGION,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
358, ROMANIA,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
359, BULGARIA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
360, BLACK SEA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
361," CRIMEA REGION, UKRAINE",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
362, WESTERN CAUCASUS,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
363, GREECE-BULGARIA BORDER REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
364, GREECE,33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
365, AEGEAN SEA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
366, TURKEY,221,-,0,0,35,ACRsh,85,ACRde,999,SZIntra,-
367, GEORGIA-ARMENIA-TURKEY BORD REG.,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
368, SOUTHERN GREECE,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
369," DODECANESE ISLANDS, GREECE",33,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
370," CRETE, GREECE",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
371, EASTERN MEDITERRANEAN SEA,30,c,1,0,15,SZInter,70,SZInter,999,SZIntra,-
372, CYPRUS REGION,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
373, DEAD SEA REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
374, JORDAN - SYRIA REGION,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
375, IRAQ,21,-,0,1,35,ACRsh,85,ACRde,-,WARNING,ACRde
376, PORTUGAL,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
377, SPAIN,220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
378, PYRENEES,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
379, NEAR SOUTH COAST OF FRANCE,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
380," CORSICA, FRANCE",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
381, CENTRAL ITALY,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
382, ADRIATIC SEA,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
383, NORTHWESTERN BALKAN REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
384, WEST OF GIBRALTAR,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
385, STRAIT OF GIBRALTAR,220,-,0,1,35,ACRsh,999,SZIntra,-,-,-
386," BALEARIC ISLANDS, SPAIN",20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
387, WESTERN MEDITERRANEAN SEA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
388," SARDINIA, ITALY",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
389, TYRRHENIAN SEA,220,-,0,0,35,ACRsh,999,SZIntra,-,-,-
390, SOUTHERN ITALY,220,c,0,1,35,ACRsh,999,SZIntra,-,-,-
391, ALBANIA,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
392, GREECE-ALBANIA BORDER REGION,21,-,0,0,35,ACRsh,85,ACRde,-,WARNING,ACRde
393," MADEIRA ISLANDS, PORTUGAL REGION",40,-,0,1,40,SOR,-,WARNING,-,-,SOR
394," CANARY ISLANDS, SPAIN REGION",40,-,0,1,40,SOR,-,WARNING,-,-,SOR
395, MOROCCO,220,-,1,0,35,ACRsh,999,SZIntra,-,-,-
396, NORTHERN ALGERIA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
397, TUNISIA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
398," SICILY, ITALY",30,c,1,0,15,SZInter,70,SZInter,999,SZIntra,-
399, IONIAN SEA,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
400, CENTRAL MEDITERRANEAN SEA,30,c,1,0,15,SZInter,70,SZInter,999,SZIntra,-
401, NEAR COAST OF LIBYA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
402, NORTH ATLANTIC OCEAN,40,c,1,1,40,SOR,-,WARNING,-,-,SOR
403, NORTHERN MID-ATLANTIC RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
404, AZORES ISLANDS REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
405," AZORES ISLANDS, PORTUGAL",24,-,0,0,65,HS,-,WARNING,-,-,HS
406, CENTRAL MID-ATLANTIC RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
407, NORTH OF ASCENSION ISLAND,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
408, ASCENSION ISLAND REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
409, SOUTH ATLANTIC OCEAN,40,-,1,1,40,SOR,-,WARNING,-,-,SOR
410, SOUTHERN MID-ATLANTIC RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
411, TRISTAN DA CUNHA REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
412, BOUVET ISLAND REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
413, SOUTHWEST OF AFRICA,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
414, SOUTHEASTERN ATLANTIC OCEAN,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
738, REYKJANES RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
739, AZORES-CAPE ST. VINCENT RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
415, EASTERN GULF OF ADEN,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
416, SOCOTRA REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
417, ARABIAN SEA,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
418," LAKSHADWEEP REGION, INDIA",40,-,1,0,40,SOR,-,WARNING,-,-,SOR
419, NORTHEASTERN SOMALIA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
420, NORTH INDIAN OCEAN,40,-,1,0,40,SOR,-,WARNING,-,-,SOR
421, CARLSBERG RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
422, MALDIVE ISLANDS REGION,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
423, LACCADIVE SEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
424, SRI LANKA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
425, SOUTH INDIAN OCEAN,40,-,1,1,40,SOR,-,WARNING,-,-,SOR
426, CHAGOS ARCHIPELAGO REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
427, MAURITIUS - REUNION REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
428, SOUTHWEST INDIAN RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
429, MID-INDIAN RIDGE,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
430, SOUTH OF AFRICA,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
431, PRINCE EDWARD ISLANDS REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
432, CROZET ISLANDS REGION,40,-,0,1,40,SOR,-,WARNING,-,-,SOR
433, KERGUELEN ISLANDS REGION,24,-,0,0,65,HS,-,WARNING,-,-,HS
434, BROKEN RIDGE,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
435, SOUTHEAST INDIAN RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
436, SOUTHERN KERGUELEN PLATEAU,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
437, SOUTH OF AUSTRALIA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
740, OWEN FRACTURE ZONE REGION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
741, INDIAN OCEAN TRIPLE JUNCTION,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
742, WESTERN INDIAN-ANTARCTIC RIDGE,23,-,0,0,55,OBR,-,WARNING,-,-,OBR
438," SASKATCHEWAN, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
439," MANITOBA, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
440, HUDSON BAY,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
441," ONTARIO, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
442," HUDSON STRAIT REGION, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
443," NORTHERN QUEBEC, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
444, DAVIS STRAIT,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
445," LABRADOR, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
446, LABRADOR SEA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
447," SOUTHERN QUEBEC, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
448," GASPE PENINSULA, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
449," EASTERN QUEBEC, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
450," ANTICOSTI ISLAND, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
451," NEW BRUNSWICK, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
452," NOVA SCOTIA, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
453," PRINCE EDWARD ISLAND, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
454, GULF OF ST. LAWRENCE,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
455," NEWFOUNDLAND, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
456, MONTANA,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
457, EASTERN IDAHO,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
458, HEBGEN LAKE REGION,24,-,0,0,65,HS,-,WARNING,-,-,HS
459," YELLOWSTONE REGION, WYOMING",24,-,0,0,65,HS,-,WARNING,-,-,HS
460, WYOMING,20,-,1,0,35,ACRsh,-,WARNING,-,-,ACRsh
461, NORTH DAKOTA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
462, SOUTH DAKOTA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
463, NEBRASKA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
464, MINNESOTA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
465, IOWA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
466, WISCONSIN,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
467, ILLINOIS,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
468, MICHIGAN,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
469, INDIANA,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
470," SOUTHERN ONTARIO, CANADA",10,-,0,0,50,SCR,-,WARNING,-,-,SCR
471, OHIO,10,-,0,0,50,SCR,-,WARNING,-,-,SCR
